"rank","headline","headline href","headline 2","brand-img src","aff-btn href","aff-btn href 2","aff-btn href 3","brand_info","point"
"1位","（じゅうよんだい）","https://www.saketime.jp/brands/241/","十四代","https://www.saketime.jp/img/brand/review/241/thum_5c6a1ea11561fa9ddd09ca6f41980956.jpg","https://www.amazon.co.jp/s?i=food-beverage&rh=n%3A71610051&_encoding=UTF8&tag=saketime-22&linkCode=ur2&dc&k=%E5%8D%81%E5%9B%9B%E4%BB%A3+%E6%97%A5%E6%9C%AC%E9%85%92","https://hb.afl.rakuten.co.jp/hgc/33b13d19.35160926.33b13d1b.795c9924/?link_type=hybrid_url&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6Imh5YnJpZF91cmwiLCJjb2wiOjF9&pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%E5%8D%81%E5%9B%9B%E4%BB%A3%2F100337%2F%3Fnitem%3D%E7%8D%BA%E7%A5%AD+%E3%82%88%E3%82%8A%E6%97%A8%E3%81%84+%E3%81%82%E3%81%AE%E5%8D%81%E5%9B%9B%E4%BB%A3+%E5%8D%81%E5%9B%9B%E4%BB%A3%E3%81%AE+%E5%8D%81%E5%9B%9B%E4%BB%A3%E3%81%A8+%E6%9C%9D%E6%97%A5%E9%B7%B9+%E3%80%8C%E5%8D%81%E5%9B%9B%E4%BB%A3%E3%80%8D+%E3%82%B0%E3%83%AC%E3%83%BC%E3%82%B9%E3%83%95%E3%83%AB+%E8%8A%B1%E9%82%91+%E5%85%AB%E6%B5%B7%E5%B1%B1","https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3286639&pid=885409294&vc_url=https%3A%2F%2Fshopping.yahoo.co.jp%2Fsearch%3Ffirst%3D1%26tab_ex%3Dcommerce%26fr%3Dshp-prop%26mcr%3Dd2ec28baa8330e143e61f8efad452d70%26ts%3D1682307004%26sretry%3D1%26sc_i%3Dshp_pc_top_searchBox%26cid%3D1359%26area%3D13%26p%3D%E5%8D%81%E5%9B%9B%E4%BB%A3+-%E7%8D%BA%E7%A5%AD+-%E3%82%88%E3%82%8A%E6%97%A8%E3%81%84+-%E3%81%82%E3%81%AE%E5%8D%81%E5%9B%9B%E4%BB%A3+-%E5%8D%81%E5%9B%9B%E4%BB%A3%E3%81%AE+-%E5%8D%81%E5%9B%9B%E4%BB%A3%E3%81%A8+-%E6%9C%9D%E6%97%A5%E9%B7%B9+-%E3%80%8C%E5%8D%81%E5%9B%9B%E4%BB%A3%E3%80%8D+-%E3%82%B0%E3%83%AC%E3%83%BC%E3%82%B9%E3%83%95%E3%83%AB+-%E8%8A%B1%E9%82%91+-%E5%85%AB%E6%B5%B7%E5%B1%B1","山形 | 高木酒造","4.63点"
"2位","（ひのとり）","https://www.saketime.jp/brands/3408/","陽乃鳥","https://www.saketime.jp/img/brand/review/3408/thum_909ca3cf1ce06cfca85866111406753a.jpg","https://www.amazon.co.jp/s?i=food-beverage&rh=n%3A71610051&_encoding=UTF8&tag=saketime-22&linkCode=ur2&dc&k=%E9%99%BD%E4%B9%83%E9%B3%A5+%E6%97%A5%E6%9C%AC%E9%85%92","https://hb.afl.rakuten.co.jp/hgc/33b13d19.35160926.33b13d1b.795c9924/?link_type=hybrid_url&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6Imh5YnJpZF91cmwiLCJjb2wiOjF9&pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%E9%99%BD%E4%B9%83%E9%B3%A5%2F100337%2F%3Fnitem%3D%E4%BA%9C%E9%BA%BB%E7%8C%AB+%E4%BB%99%E7%A6%BD+%E9%87%91%E9%9B%80+%E9%8D%8B%E5%B3%B6","https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3286639&pid=885409294&vc_url=https%3A%2F%2Fshopping.yahoo.co.jp%2Fsearch%3Ffirst%3D1%26tab_ex%3Dcommerce%26fr%3Dshp-prop%26mcr%3Dd2ec28baa8330e143e61f8efad452d70%26ts%3D1682307004%26sretry%3D1%26sc_i%3Dshp_pc_top_searchBox%26cid%3D1359%26area%3D13%26p%3D%E9%99%BD%E4%B9%83%E9%B3%A5+-%E4%BA%9C%E9%BA%BB%E7%8C%AB+-%E4%BB%99%E7%A6%BD+-%E9%87%91%E9%9B%80+-%E9%8D%8B%E5%B3%B6","秋田 | 新政酒造","4.54点"
"3位","（しんしゅうきれい）","https://www.saketime.jp/brands/4854/","信州亀齢","https://www.saketime.jp/img/brand/review/4854/thum_2742972d006d30998f6a85935d91e3a7.jpg","https://www.amazon.co.jp/s?i=food-beverage&rh=n%3A71610051&_encoding=UTF8&tag=saketime-22&linkCode=ur2&dc&k=%E4%BF%A1%E5%B7%9E%E4%BA%80%E9%BD%A2+%E6%97%A5%E6%9C%AC%E9%85%92","https://hb.afl.rakuten.co.jp/hgc/33b13d19.35160926.33b13d1b.795c9924/?link_type=hybrid_url&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6Imh5YnJpZF91cmwiLCJjb2wiOjF9&pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%E4%BF%A1%E5%B7%9E%E4%BA%80%E9%BD%A2%2F100337%2F%3Fnitem%3D%E8%80%8C%E4%BB%8A+%E5%8D%81%E5%9B%9B%E4%BB%A3+%E6%96%B0%E6%94%BF+%E5%B0%84%E7%BE%8E+%E8%B5%A4%E6%AD%A6+%E3%81%8F%E3%81%A9%E3%81%8D%E4%B8%8A%E6%89%8B+%E4%BB%99%E7%A6%BD","https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3286639&pid=885409294&vc_url=https%3A%2F%2Fshopping.yahoo.co.jp%2Fsearch%3Ffirst%3D1%26tab_ex%3Dcommerce%26fr%3Dshp-prop%26mcr%3Dd2ec28baa8330e143e61f8efad452d70%26ts%3D1682307004%26sretry%3D1%26sc_i%3Dshp_pc_top_searchBox%26cid%3D1359%26area%3D13%26p%3D%E4%BF%A1%E5%B7%9E%E4%BA%80%E9%BD%A2+-%E8%80%8C%E4%BB%8A+-%E5%8D%81%E5%9B%9B%E4%BB%A3+-%E6%96%B0%E6%94%BF+-%E5%B0%84%E7%BE%8E+-%E8%B5%A4%E6%AD%A6+-%E3%81%8F%E3%81%A9%E3%81%8D%E4%B8%8A%E6%89%8B+-%E4%BB%99%E7%A6%BD","長野 | 岡崎酒造","4.50点"
"4位","（じこん）","https://www.saketime.jp/brands/2078/","而今","https://www.saketime.jp/img/brand/review/2078/thum_370aa57d6ba0003c8d3ad4d3acba8660.jpg","https://www.amazon.co.jp/s?i=food-beverage&rh=n%3A71610051&_encoding=UTF8&tag=saketime-22&linkCode=ur2&dc&k=%E8%80%8C%E4%BB%8A+%E6%97%A5%E6%9C%AC%E9%85%92","https://hb.afl.rakuten.co.jp/hgc/33b13d19.35160926.33b13d1b.795c9924/?link_type=hybrid_url&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6Imh5YnJpZF91cmwiLCJjb2wiOjF9&pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%E8%80%8C%E4%BB%8A%2F100337%2F%3Fnitem%3D%E9%AB%98%E7%A0%82+%E7%8D%BA%E7%A5%AD+%E9%9B%AA%E9%B6%B4","https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3286639&pid=885409294&vc_url=https%3A%2F%2Fshopping.yahoo.co.jp%2Fsearch%3Ffirst%3D1%26tab_ex%3Dcommerce%26fr%3Dshp-prop%26mcr%3Dd2ec28baa8330e143e61f8efad452d70%26ts%3D1682307004%26sretry%3D1%26sc_i%3Dshp_pc_top_searchBox%26cid%3D1359%26area%3D13%26p%3D%E8%80%8C%E4%BB%8A+-%E9%AB%98%E7%A0%82+-%E7%8D%BA%E7%A5%AD+-%E9%9B%AA%E9%B6%B4","三重 | 木屋正酒造","4.46点"
"4位","（ナンバーシックス）","https://www.saketime.jp/brands/3409/","No.6","https://www.saketime.jp/img/brand/review/3409/thum_0d8f707d93cfcb64d7651b1ff0bdf9d3.jpg","https://www.amazon.co.jp/s?i=food-beverage&rh=n%3A71610051&_encoding=UTF8&tag=saketime-22&linkCode=ur2&dc&k=No.6+%E6%97%A5%E6%9C%AC%E9%85%92","https://hb.afl.rakuten.co.jp/hgc/33b13d19.35160926.33b13d1b.795c9924/?link_type=hybrid_url&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6Imh5YnJpZF91cmwiLCJjb2wiOjF9&pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2FNo.6%2F100337%2F%3Fnitem%3DCACCCI+%E5%85%A5%E6%89%8B%E5%9B%B0%E9%9B%A3+%E5%9C%9F%E7%94%B0+%E5%8D%81%E5%9B%9B%E4%BB%A3","https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3286639&pid=885409294&vc_url=https%3A%2F%2Fshopping.yahoo.co.jp%2Fsearch%3Ffirst%3D1%26tab_ex%3Dcommerce%26fr%3Dshp-prop%26mcr%3Dd2ec28baa8330e143e61f8efad452d70%26ts%3D1682307004%26sretry%3D1%26sc_i%3Dshp_pc_top_searchBox%26cid%3D1359%26area%3D13%26p%3DNo.6+-CACCCI+-%E5%85%A5%E6%89%8B%E5%9B%B0%E9%9B%A3+-%E5%9C%9F%E7%94%B0+-%E5%8D%81%E5%9B%9B%E4%BB%A3","秋田 | 新政酒造","4.46点"
"6位","（でんしょうぎく）","https://www.saketime.jp/brands/7286/","電照菊","https://www.saketime.jp/img/brand/review/7286/thum_5af333d889ee26bb3618898b3358b108.jpg","https://www.amazon.co.jp/s?i=food-beverage&rh=n%3A71610051&_encoding=UTF8&tag=saketime-22&linkCode=ur2&dc&k=%E9%9B%BB%E7%85%A7%E8%8F%8A+%E6%97%A5%E6%9C%AC%E9%85%92","https://hb.afl.rakuten.co.jp/hgc/33b13d19.35160926.33b13d1b.795c9924/?link_type=hybrid_url&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6Imh5YnJpZF91cmwiLCJjb2wiOjF9&pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%E9%9B%BB%E7%85%A7%E8%8F%8A%2F100337%2F","https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3286639&pid=885409294&vc_url=https%3A%2F%2Fshopping.yahoo.co.jp%2Fsearch%3Ffirst%3D1%26tab_ex%3Dcommerce%26fr%3Dshp-prop%26mcr%3Dd2ec28baa8330e143e61f8efad452d70%26ts%3D1682307004%26sretry%3D1%26sc_i%3Dshp_pc_top_searchBox%26cid%3D1359%26area%3D13%26p%3D%E9%9B%BB%E7%85%A7%E8%8F%8A","千葉 | 寒菊銘醸","4.45点"
"6位","（きんすずめ）","https://www.saketime.jp/brands/1828/","金雀","https://www.saketime.jp/img/brand/review/1828/thum_93ac3ace05a4637d1270c178d796258c.jpg","https://www.amazon.co.jp/s?i=food-beverage&rh=n%3A71610051&_encoding=UTF8&tag=saketime-22&linkCode=ur2&dc&k=%E9%87%91%E9%9B%80+%E6%97%A5%E6%9C%AC%E9%85%92","https://hb.afl.rakuten.co.jp/hgc/33b13d19.35160926.33b13d1b.795c9924/?link_type=hybrid_url&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6Imh5YnJpZF91cmwiLCJjb2wiOjF9&pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%E9%87%91%E9%9B%80%2F100337%2F%3Fnitem%3D%E5%8D%81%E5%9B%9B%E4%BB%A3","https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3286639&pid=885409294&vc_url=https%3A%2F%2Fshopping.yahoo.co.jp%2Fsearch%3Ffirst%3D1%26tab_ex%3Dcommerce%26fr%3Dshp-prop%26mcr%3Dd2ec28baa8330e143e61f8efad452d70%26ts%3D1682307004%26sretry%3D1%26sc_i%3Dshp_pc_top_searchBox%26cid%3D1359%26area%3D13%26p%3D%E9%87%91%E9%9B%80+-%E5%8D%81%E5%9B%9B%E4%BB%A3","山口 | 堀江酒場","4.45点"
"8位","（うぶすな）","https://www.saketime.jp/brands/6243/","産土","https://www.saketime.jp/img/brand/review/6243/thum_686b57c042df7f61e47439554505f6df.jpg","https://www.amazon.co.jp/s?i=food-beverage&rh=n%3A71610051&_encoding=UTF8&tag=saketime-22&linkCode=ur2&dc&k=%E7%94%A3%E5%9C%9F+%E6%97%A5%E6%9C%AC%E9%85%92","https://hb.afl.rakuten.co.jp/hgc/33b13d19.35160926.33b13d1b.795c9924/?link_type=hybrid_url&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6Imh5YnJpZF91cmwiLCJjb2wiOjF9&pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%E7%94%A3%E5%9C%9F%2F100337%2F%3Fnitem%3D%E6%96%B0%E6%94%BF+%E6%9D%BE%E3%81%AE%E5%8F%B8+%E9%95%B7%E9%87%8E+%E5%A5%88%E8%89%AF","https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3286639&pid=885409294&vc_url=https%3A%2F%2Fshopping.yahoo.co.jp%2Fsearch%3Ffirst%3D1%26tab_ex%3Dcommerce%26fr%3Dshp-prop%26mcr%3Dd2ec28baa8330e143e61f8efad452d70%26ts%3D1682307004%26sretry%3D1%26sc_i%3Dshp_pc_top_searchBox%26cid%3D1359%26area%3D13%26p%3D%E7%94%A3%E5%9C%9F+-%E6%96%B0%E6%94%BF+-%E6%9D%BE%E3%81%AE%E5%8F%B8+-%E9%95%B7%E9%87%8E+-%E5%A5%88%E8%89%AF","熊本 | 花の香酒造","4.42点"
"9位","（みやかんばい）","https://www.saketime.jp/brands/175/","宮寒梅","https://www.saketime.jp/img/brand/review/175/thum_5aa3c74e540ed4ea1023403f4a0084c1.jpg","https://www.amazon.co.jp/s?i=food-beverage&rh=n%3A71610051&_encoding=UTF8&tag=saketime-22&linkCode=ur2&dc&k=%E5%AE%AE%E5%AF%92%E6%A2%85+%E6%97%A5%E6%9C%AC%E9%85%92","https://hb.afl.rakuten.co.jp/hgc/33b13d19.35160926.33b13d1b.795c9924/?link_type=hybrid_url&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6Imh5YnJpZF91cmwiLCJjb2wiOjF9&pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%E5%AE%AE%E5%AF%92%E6%A2%85%2F100337%2F","https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3286639&pid=885409294&vc_url=https%3A%2F%2Fshopping.yahoo.co.jp%2Fsearch%3Ffirst%3D1%26tab_ex%3Dcommerce%26fr%3Dshp-prop%26mcr%3Dd2ec28baa8330e143e61f8efad452d70%26ts%3D1682307004%26sretry%3D1%26sc_i%3Dshp_pc_top_searchBox%26cid%3D1359%26area%3D13%26p%3D%E5%AE%AE%E5%AF%92%E6%A2%85","宮城 | 寒梅酒造","4.40点"
"10位","（はなあび）","https://www.saketime.jp/brands/553/","花陽浴","https://www.saketime.jp/img/brand/review/553/thum_d5102add211df7b01d2da698f63c18ef.jpg","https://www.amazon.co.jp/s?i=food-beverage&rh=n%3A71610051&_encoding=UTF8&tag=saketime-22&linkCode=ur2&dc&k=%E8%8A%B1%E9%99%BD%E6%B5%B4+%E6%97%A5%E6%9C%AC%E9%85%92","https://hb.afl.rakuten.co.jp/hgc/33b13d19.35160926.33b13d1b.795c9924/?link_type=hybrid_url&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6Imh5YnJpZF91cmwiLCJjb2wiOjF9&pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%E8%8A%B1%E9%99%BD%E6%B5%B4%2F100337%2F%3Fnitem%3D%E8%97%8D%E3%81%AE%E9%83%B7+%E7%8D%BA%E7%A5%AD+%E6%89%8B%E6%8F%90%E3%81%92+%E6%AD%A3%E8%A6%8F%E5%93%81","https://ck.jp.ap.valuecommerce.com/servlet/referral?sid=3286639&pid=885409294&vc_url=https%3A%2F%2Fshopping.yahoo.co.jp%2Fsearch%3Ffirst%3D1%26tab_ex%3Dcommerce%26fr%3Dshp-prop%26mcr%3Dd2ec28baa8330e143e61f8efad452d70%26ts%3D1682307004%26sretry%3D1%26sc_i%3Dshp_pc_top_searchBox%26cid%3D1359%26area%3D13%26p%3D%E8%8A%B1%E9%99%BD%E6%B5%B4+-%E8%97%8D%E3%81%AE%E9%83%B7+-%E7%8D%BA%E7%A5%AD+-%E6%89%8B%E6%8F%90%E3%81%92+-%E6%AD%A3%E8%A6%8F%E5%93%81","埼玉 | 南陽醸造","4.39点"
